Hauptprobenummer,,Bezeichnung,,Probe-Entnahmeart,,Probenahme-Beginn Datum,,Probenahme-Beginn Zeit,,Probenahme-Ende Datum,,Probenahme-Ende Zeit,,Umweltbereich,,Messprogrammgruppe,,Entnahmestelle,,Herkunftsstaat,,Methode,,Pruefmerkmal,,Ergebnis,,Einheit,
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Niob-95 Nb-95,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Eisen-59 Fe-59,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Cer-144 Ce-144,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Thallium-201 Tl-201,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Cäsium-137 Cs-137,,"1,51E-01",,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Technetium-99m Tc-99m,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Cer-139 Ce-139,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Ruthenium-106 Ru-106,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Zirkon-95 Zr-95,,n.n.,,Bq/kg(FM),
201300166,,Dorschfilet,,Einzelprobe,,07.05.2013,,06:10,,07.05.2013,,06:10,,Seefisch,,IMIS Routinemessprogramm,,hhlm11,,Norwegen,Norwegen Lastrup Federal Republic of Germany http://sws.geonames.org/2861798/,Gammaspektrometrie (fest - FM),,Mangan-54 Mn-54,,n.n.,,Bq/kg(FM),
