bezirk,,anzahl_kinder_je_familie,,familien_mit_kindern,,davon_alleinerziehende,,kinder_in_familien_insgesamt,,davon_bei_alleinerziehenden,,alleinlebende_kinder,
Düttling,Düttling Heimbach Federal Republic of Germany http://sws.geonames.org/2934185/,3,,1,,0,,3,,0,,0,
Hergarten,Hergarten Heimbach Federal Republic of Germany http://sws.geonames.org/2906116/,7,,1,,0,,7,,0,,0,
Hergarten,Hergarten Heimbach Federal Republic of Germany http://sws.geonames.org/2906116/,3,,5,,0,,15,,0,,0,
Blens,Blens Heimbach Federal Republic of Germany http://sws.geonames.org/2947807/,9,,0,,0,,0,,0,,0,
Hasenfeld,Hasenfeld Jülich Federal Republic of Germany http://sws.geonames.org/2909672/,14,,0,,0,,0,,0,,0,
Hausen,Hausen Murrhardt Federal Republic of Germany http://sws.geonames.org/2908895/,7,,0,,0,,0,,0,,0,
Hergarten,Hergarten Heimbach Federal Republic of Germany http://sws.geonames.org/2906116/,10,,0,,0,,0,,0,,0,
Hasenfeld,Hasenfeld Jülich Federal Republic of Germany http://sws.geonames.org/2909672/,3,,9,,2,,27,,6,,0,
Vlatten,Vlatten Heimbach Federal Republic of Germany http://sws.geonames.org/2817108/,14,,0,,0,,0,,0,,0,
Blens,Blens Heimbach Federal Republic of Germany http://sws.geonames.org/2947807/,10,,0,,0,,0,,0,,0,
