Hauptprobenummer,,Bezeichnung,,Probe-Entnahmeart,,Probenahme-Beginn Datum,,Probenahme-Beginn Zeit,,Probenahme-Ende Datum,,Probenahme-Ende Zeit,,Umweltbereich,,Messprogrammgruppe,,Entnahmestelle,,Herkunftsstaat,,Methode,,Pruefmerkmal,,Ergebnis,,Einheit,
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Radium-228 Ra-228,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Barium-140 Ba-140,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Cäsium-134 Cs-134,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Radium-226 Ra-226,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Cer-139 Ce-139,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Cobalt-57 Co-57,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Zink-65 Zn-65,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Antimon-124 Sb-124,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Cer-144 Ce-144,,n.n.,,Bq/kg(TM),
201400077,,Grüner Tee Pulver,,Einzelprobe,,27.02.2014,,09:00,,27.02.2014,,09:00,,"Getränke, Trockensubstanz, nicht alkoholisch (einschl. Tee und Kaffee)",,VEA Japan-Verdachtsproben,,hhlm11,,Japan,Japan Bleicherode Federal Republic of Germany http://sws.geonames.org/2895182/,Gammaspektrometrie (fest - TM),,Uran-235 U-235,,n.n.,,Bq/kg(TM),
