Local Authority,,FR,,DFL,,TP,,DLG,,OS(W),,OS(NPW),,OS(P),,OS(NPP),,SIMS,,OC1,,OC2,,Total,
WEALDEN,,33,,41,,69,,913,,450,,8,,75,,0,,227,,1719,,424,,3959,
TOWER HAMLETS,http://sws.geonames.org/2635594/,4,,256,,34,,1426,,736,,11,,259,,12,,244,,5182,,1044,,9208,
BRAINTREE,http://sws.geonames.org/2654938/,33,,18,,23,,783,,386,,8,,41,,0,,175,,1224,,335,,3026,
CASTLE POINT,http://sws.geonames.org/2650604/,33,,13,,9,,422,,199,,0,,6,,0,,172,,709,,109,,1672,
NORTHAMPTON,http://sws.geonames.org/2641429/,91,,34,,34,,1259,,547,,17,,113,,2,,175,,2097,,385,,4754,
HINCKLEY AND BOSWORTH,,19,,16,,29,,584,,253,,9,,33,,0,,106,,785,,173,,2007,
PORTSMOUTH,http://sws.geonames.org/2639996/,25,,41,,12,,1009,,465,,10,,51,,0,,123,,1894,,272,,3902,
SWALE,,15,,25,,51,,698,,317,,6,,54,,0,,114,,1366,,304,,2950,
SOUTH HOLLAND,,50,,15,,25,,451,,234,,6,,40,,0,,99,,717,,134,,1771,
NORTH EAST LINCOLNSHIRE,http://sws.geonames.org/3333175/,31,,11,,19,,911,,408,,5,,45,,0,,100,,1271,,167,,2968,
