url,filename,portal,checked,correct labels,Missing labels,wrong GeoNames labels,wrong OSM labels,N,TP,FP,FN,precision,recall,F1
https://www.data.gouv.fr/s/resources/inventaire-immobilier-de-letat/20180319-095517/INV_IMM_20151031.csv,www_data_gouv_fr/7.csv,www_data_gouv_fr,x,c,m,,,10,7,0,3,,,
http://static.data.gouv.fr/17/2f688aac77db315e70d80e7795d2b8a59fc6535dca51d348a70aa94a7b1e94.csv,www_data_gouv_fr/8.csv,www_data_gouv_fr,x,c,m,g,,11,6,1,4,,,
https://www.data.gouv.fr/s/resources/elections-legislatives-1958-2012/20150206-165825/cdsp_legi1997t2_commp9000.csv,www_data_gouv_fr/9.csv,www_data_gouv_fr,x,c,m,,,10,7,0,3,0.984615384615385,0.680851063829787,0.805031446540881
http://service.stmk.gv.at/ogd/OGD_Data_ABT17/statistik/BEV_GESCHL/STMK_01012012_SEX.csv,data_gv_at/0.csv,data_gv_at,x,c,m,,,24,16,0,8,,,
http://data.linz.gv.at/katalog/kultur/bildung/teilweise_bei_akademische_einrichtungen/2004/LBANS_2004.csv,data_gv_at/1.csv,data_gv_at,x,c,m,,,8,7,0,1,,,
http://service.stmk.gv.at/ogd/OGD_Data_ABT17/statistik/POP_FINYEAR/STMK_31102013_POP_FINYEAR2015.csv,data_gv_at/2.csv,data_gv_at,x,c,m,,,20,15,0,5,,,
http://data.linz.gv.at/katalog/kultur/bildung/pflichtschulen/hauptschule/2004/HASHL_2004.csv,data_gv_at/3.csv,data_gv_at,x,c,,,,10,10,0,0,,,
http://data.linz.gv.at/katalog/kultur/bildung/teilweise_bei_akademische_einrichtungen/2003/LBANS_2003.csv,data_gv_at/4.csv,data_gv_at,x,c,m,,,8,7,0,1,,,
http://data.linz.gv.at/katalog/population/wanderung/zuzug/2005/zuzug_2005u.csv,data_gv_at/5.csv,data_gv_at,x,c,,,,9,9,0,0,,,
https://data.rtr.at/api/v1/tables/skp.csv,data_gv_at/6.csv,data_gv_at,x,c,m,,,14,10,0,4,,,
https://www.wien.gv.at/statistik/ogd/vie_206.csv,data_gv_at/7.csv,data_gv_at,x,c,,,,2,2,0,0,,,
https://data.bgld.gv.at/files/Abt7-HR-Bildung/Landesberufsschulen.csv,data_gv_at/8.csv,data_gv_at,x,c,,,,6,6,0,0,1,0.811881188118812,0.896174863387978
http://daten.transparenz.hamburg.de/Dataport.HmbTG.ZS.Webservice.GetRessource100/GetRessource100.svc/f250520a-c743-4831-876f-ec230cc6613c/Dorschfilet.csv,offenedaten_de/0.csv,offenedaten_de,x,,,g,,1,0,1,0,,,
http://daten.transparenz.hamburg.de/Dataport.HmbTG.ZS.Webservice.GetRessource100/GetRessource100.svc/b8772128-35d8-429b-bde8-56bd824884b2/Wiesenbewuchs.csv,offenedaten_de/1.csv,offenedaten_de,x,,,g,,1,0,1,0,,,
http://daten.transparenz.hamburg.de/Dataport.HmbTG.ZS.Webservice.GetRessource100/GetRessource100.svc/f9ca9394-cfac-4abf-8602-7a5d10c9feba/Schwarzer_Tee.csv,offenedaten_de/2.csv,offenedaten_de,x,,,g,,1,0,1,0,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/EWO_990_sim_OpDat197-2014_20161121.csv,offenedaten_de/3.csv,offenedaten_de,x,c,,,,10,10,0,0,,,
http://Daten-hamburg.de/infrastruktur_bauen_wohnen/bodenrichtwerte/br0200001-Hamburg1977.csv,offenedaten_de/4.csv,offenedaten_de,x,c,,,,11,11,0,0,,,
http://daten.transparenz.hamburg.de/Dataport.HmbTG.ZS.Webservice.GetRessource100/GetRessource100.svc/e22e1e91-a01a-41b2-bb29-474232472c97/Gruener_Tee_Pulver.csv,offenedaten_de/5.csv,offenedaten_de,x,,,g,,1,0,1,0,,,
https://transparenz.karlsruhe.de/dataset/5ee4244d-943f-4b26-9c86-c11e843e8351/resource/db493b5d-bc1b-4027-b075-2e27ec74c98c/download/registrierte-hunde-anzahl-der-hunde.csv,offenedaten_de/6.csv,offenedaten_de,x,c,,,,10,10,0,0,,,
http://Daten-hamburg.de/infrastruktur_bauen_wohnen/bodenrichtwerte/br0200001-Hamburg1988.csv,offenedaten_de/7.csv,offenedaten_de,x,c,,,,11,11,0,0,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/EWO_990_sim_OpDat277-2011_20161121.csv,offenedaten_de/8.csv,offenedaten_de,x,c,,,,6,6,0,0,,,
http://offenedaten.kdvz-frechen.de/sites/default/files/EWO_990_sim_OpDat284-2010_20161108.csv,offenedaten_de/9.csv,offenedaten_de,x,c,,,,3,3,0,0,0.927272727272727,1,0.962264150943396
