OBJECTID_1,,GPA_ID,,GPA_NAME,,GPA_NAME_E,,Contae,,County,,GUID,,Shape__Area,,Shape__Length,
23,,59020,,Tuaisceart Dhún na nGall,,North Donegal,,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,A84CBD4F-A1FE-4558-A501-40440114CB12,,0.026432301527132,,2.88165092588741,
1,,59021,,"Gaoth Dobhair, Rann na Feirste, Anagaire agus Loch an Iúir",,"Gweedore, Rannafast, Annagary and Loughanure",,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,23758E72-1C05-4726-BA8F-475ABD6380A2,,0.036966702541879,,1.91948953724335,
25,,159021,,Maigh Eo Thiar,,West Mayo,,Contae Mhaigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Mayo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,D915A13E-4215-4BB1-886D-77557D425F1B,,0.020752746411251,,1.71779313967383,
17,,59023,,Na Rosa,,The Rosses,,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,8C7577BA-D09E-4704-A9BD-E57A0629892F,,0.023968289970766,,2.45535482766481,
5,,59025,,An Ghaeltacht Láir,,Mid Region Gaeltacht,,Contae Dhún na nGall,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,Donegal,County Donegal Ulster Ireland http://sws.geonames.org/2964751/,864B7AC0-1B5E-4E27-AA20-EF415D4603F8,,0.058123277730606,,1.67508109889774,
10,,69025,,Cois Fharraige,,Cois Fharraige,,Contae na Gaillimhe,,Galway,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,3751E648-A867-496A-B7FB-BCA4A067FA78,,0.034624545538583,,1.19284218339487,
9,,69022,,An Cheathrú Rua,,Carraroe,,Contae na Gaillimhe,,Galway,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,0565A2D4-A23C-449E-B88F-F075985FBFE6,,0.004664607778055,,0.684779334481706,
15,,69026,,Maigh Cuilinn,,Moycullen,,Contae na Gaillimhe,,Galway,Galway Airport Ireland Ireland http://sws.geonames.org/6452625/,A4741732-6C2D-4A14-B84C-A2AB55278420,,0.013093247606066,,0.957016662394123,
18,,159020,,Maigh Eo Thuaidh,,North Mayo,,Contae Mhaigh Eo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,Mayo,Maigh Eo Connaught Ireland http://sws.geonames.org/2962666/,610B2D7E-2A4A-48A9-A108-D46E11E7A67D,,0.080408405387892,,4.91856491832701,
19,,79021,,Ciarraí Theas,,South Kerry,,Contae Chiarraí,Ciarraí Munster Ireland http://sws.geonames.org/2963517/,Kerry,Ciarraí Munster Ireland http://sws.geonames.org/2963517/,D9E72494-6DEA-458F-8C28-FA4353189F15,,0.039456565997939,,2.78717372001606,
