OBJECTID_1,,GT_ID,,GT_ENGLISH,,GT_GAEILGE,,COUNTY,,CONTAE,,PROVINCE,,CENTROID_X,,CENTROID_Y,,GUID,,Shape__Area,,Shape__Length,
1,,165081,,MEATH,http://sws.geonames.org/2962661/,An Mhí,http://sws.geonames.org/2962661/,MEATH,http://sws.geonames.org/2962661/,An Mhí,http://sws.geonames.org/2962661/,Leinster,http://sws.geonames.org/2962979/,681223,,774978,,695E2FEC-4175-43ED-A084-9C4448BA8F4F,,0.005976467145347,,0.748185046740813,
2,,225081,,WATERFORD,http://sws.geonames.org/2960991/,Port Láirge,http://sws.geonames.org/2960991/,WATERFORD,http://sws.geonames.org/2960991/,Port Láirge,http://sws.geonames.org/2960991/,Munster,http://sws.geonames.org/2962350/,625317,,585291,,D3539A8D-40A6-497D-8BF2-1D9804FAEAC7,,0.008082798635151,,0.642983272223433,
3,,75081,,KERRY,http://sws.geonames.org/2963517/,Ciarraí,http://sws.geonames.org/2963517/,KERRY,http://sws.geonames.org/2963517/,Ciarraí,http://sws.geonames.org/2963517/,Munster,http://sws.geonames.org/2962350/,447173,,606481,,C27A1A74-1663-45B8-A5D0-683A2F220C07,,0.085114739840774,,6.27145377908026,
4,,155081,,MAYO,http://sws.geonames.org/2962666/,Maigh Eo,http://sws.geonames.org/2962666/,MAYO,http://sws.geonames.org/2962666/,Maigh Eo,http://sws.geonames.org/2962666/,Connacht,http://sws.geonames.org/7521313/,493472,,835949,,01889FF8-F19D-4913-95AA-B86861E6A582,,0.125776376716923,,9.05705556198103,
5,,65081,,GALWAY,http://sws.geonames.org/6452625/,Gaillimh,http://sws.geonames.org/7778676/,GALWAY,http://sws.geonames.org/6452625/,Gaillimh,http://sws.geonames.org/7778676/,Connacht,http://sws.geonames.org/7521313/,499821,,738603,,372FEC7C-DB30-4853-B7D4-BA6C2DCAF0F2,,0.181285893650989,,13.6670560127497,
6,,45581,,CORK,http://sws.geonames.org/2965139/,Corcaigh,http://sws.geonames.org/7778678/,CORK,http://sws.geonames.org/2965139/,Corcaigh,http://sws.geonames.org/7778678/,Munster,http://sws.geonames.org/2962350/,518628,,573389,,1B909A15-4D29-489C-8DC4-F8A6EA48EFAF,,0.034233701723421,,1.66662620071173,
7,,55081,,DONEGAL,http://sws.geonames.org/2964751/,Dún na nGall,http://sws.geonames.org/2964751/,DONEGAL,http://sws.geonames.org/2964751/,Dún na nGall,http://sws.geonames.org/2964751/,Ulster,http://sws.geonames.org/7521316/,591173,,909906,,865CD4F3-B2D8-4405-841E-0AB4CEA25B7B,,0.213038716572152,,11.5221466745176,
