OBJECTID_1,,TD_ID,,TD_ENGLISH,,TD_GAEILGE,,COUNTY,,CONTAE,,PROVINCE,,CENTROID_X,,CENTROID_Y,,GUID,,Shape__Area,,Shape__Length,
12703,,100569,,FERMOYLE,, ,,LAOIS,http://sws.geonames.org/2963031/,Laois,http://sws.geonames.org/2963031/,Leinster,http://sws.geonames.org/2962979/,642897,,678955,,2E30A2BF-B18E-49F9-89F8-771DEE961492,,0.000176938779396,,0.06377452115716,
16910,,62324,,GORTNALONE SOUTH,, ,,GALWAY,http://sws.geonames.org/6452625/,Gaillimh,http://sws.geonames.org/7778676/,Connacht,http://sws.geonames.org/7521313/,559062,,731356,,22DEC645-6576-42D8-81F9-93E84D71CC3B,,0.000149986839844,,0.091217888280843,
36069,,20646,,CULLENTRAGH,, ,,CAVAN,http://sws.geonames.org/2965534/,An Cabhán,http://sws.geonames.org/2965534/,Ulster,http://sws.geonames.org/7521316/,648148,,808114,,548CC9D3-004F-46CD-95CD-89C31E8C19BC,,0.000128597444388,,0.055559362205419,
43026,,250608,,CROSSNACOLE,, ,,WICKLOW,http://sws.geonames.org/2960935/,Cill Mhantáin,http://sws.geonames.org/2960935/,Leinster,http://sws.geonames.org/2962979/,694890,,684681,,A46EAFCD-459E-4273-9328-53EF41E30D8B,,0.000168574839575,,0.056467687405832,
31587,,170651,,DERRYARRILLY,,Doire Oileara,,MONAGHAN,http://sws.geonames.org/2962567/,Muineachán,http://sws.geonames.org/2962567/,Ulster,http://sws.geonames.org/7521316/,673977,,825838,,D6C624E0-7DD7-4645-8714-FEC42F5DC8F4,,0.000141827042765,,0.064500849313497,
28127,,121714,,RAHEEN,,Raithean [TRC: An Ghráinsigh],,LIMERICK,http://sws.geonames.org/2962942/,Luimneach,http://sws.geonames.org/7778675/,Munster,http://sws.geonames.org/2962350/,562271,,640181,,2194A49E-FDE2-4FA1-A89C-15E3AA5FA6CD,,0.000174890915576,,0.071503067149493,
17514,,90934,,KILBALLYKEEFE,,Cill Bhaile Uí Chaoimh,,KILKENNY,http://sws.geonames.org/10130170/,Cill Chainnigh,http://sws.geonames.org/2963397/,Leinster,http://sws.geonames.org/2962979/,642196,,650337,,70780358-97D0-4BB7-A339-835ED42D69AE,,0.000212534052716,,0.081708041275628,
29504,,210347,,BALLYNAGRANA,,Baile na gCanánach [T: Carraig na Siúire (Tuath)],,TIPPERARY,http://sws.geonames.org/2961191/,Tiobraid Árann,http://sws.geonames.org/2961191/,Munster,http://sws.geonames.org/2962350/,638449,,623514,,53322588-4C59-4489-9C0B-C55FCAD3D22D,,0.000283924825883,,0.085244123162949,
12663,,240873,,COOLE,, ,,WEXFORD,http://sws.geonames.org/2960964/,Loch Garman,http://sws.geonames.org/2960964/,Leinster,http://sws.geonames.org/2962979/,705124,,629933,,36E10B3C-3B67-43F3-AA8E-378C0955B98F,,6.9960083686e-05,,0.043851529704054,
10011,,71483,,GORTAGULLANE,, ,,KERRY,http://sws.geonames.org/2963517/,Ciarraí,http://sws.geonames.org/2963517/,Munster,http://sws.geonames.org/2962350/,498300,,585522,,3E92473F-387C-410A-ABE6-4868E7F52EE8,,0.000459462433392,,0.123182134902194,
