bezirk,,anzahl_kinder_je_familie,,familien_mit_kindern,,davon_alleinerziehende,,kinder_in_familien_insgesamt,,davon_bei_alleinerziehenden,,alleinlebende_kinder,
Urft,Urft Nordrhein-Westfalen Federal Republic of Germany http://sws.geonames.org/2818202/,13,,0,,0,,0,,0,,0,
Kerngebiet,,14,,0,,0,,0,,0,,0,
Diefenbach,Diefenbach Landkreis Bernkastel-Wittlich Federal Republic of Germany http://sws.geonames.org/6554307/,4,,0,,0,,0,,0,,0,
Sistig,Sistig Kall Federal Republic of Germany http://sws.geonames.org/2831817/,1,,48,,18,,48,,18,,5,
Benenberg,Benenberg Kall Federal Republic of Germany http://sws.geonames.org/2951100/,15,,0,,0,,0,,0,,0,
Dottel,Dottel Kall Federal Republic of Germany http://sws.geonames.org/2935438/,11,,0,,0,,0,,0,,0,
Gillenberg,Gillenberg Kall Federal Republic of Germany http://sws.geonames.org/2920415/,1,,4,,0,,4,,0,,1,
Krekel,Krekel Kall Federal Republic of Germany http://sws.geonames.org/2884425/,8,,0,,0,,0,,0,,0,
Steinfeld,Steinfeld Steinfeld (Oldenburg) Federal Republic of Germany http://sws.geonames.org/2828136/,13,,0,,0,,0,,0,,0,
Rüth,Rüth Kall Federal Republic of Germany http://sws.geonames.org/2842821/,4,,0,,0,,0,,0,,0,
